workload,delta_workload,response_time,wdr,rdw,next_workload,vm_sum,w/s,s/m,scale_response_time
104.0,104.0,10.4596923076923,9.942931105489214,0.10057396449704137,134.0,25.0,5.36,0.1865671641791045,10.8027462686567
109.0,5.0,8.825688073394494,12.350311850311847,0.08096961535224306,133.0,30.0,4.433333333333334,0.2255639097744361,8.977443609022556
114.0,5.0,9.228070175438596,12.353612167300382,0.0809479839950754,133.0,30.0,4.433333333333334,0.2255639097744361,8.977443609022556
120.0,6.0,9.666666666666666,12.413793103448276,0.08055555555555555,132.0,30.0,4.4,0.2272727272727273,8.909090909090908
125.0,5.0,10.0,12.5,0.08,132.0,30.0,4.4,0.2272727272727273,8.909090909090908
125.0,0.0,10.0,12.5,0.08,131.0,30.0,4.366666666666666,0.22900763358778625,8.83969465648855
126.0,1.0,10.09485714285714,12.481603079361491,0.08011791383219953,130.0,30.0,4.333333333333333,0.2307692307692308,8.76923076923077
127.0,1.0,10.188220472440939,12.465376102091039,0.08022220844441684,130.0,30.0,4.333333333333333,0.2307692307692308,8.76923076923077
128.0,1.0,10.280124999999996,12.451210466798804,0.08031347656249997,129.0,30.0,4.3,0.2325581395348837,8.69767441860465
130.0,2.0,10.4596923076923,12.428663881861516,0.08045917159763308,129.0,30.0,4.3,0.2325581395348837,8.69767441860465
131.0,1.0,10.547419847328236,12.420099123406336,0.0805146553231163,129.0,30.0,4.3,0.2325581395348837,8.69767441860465
132.0,1.0,10.63381818181817,12.413227097083075,0.08055922865013765,128.0,30.0,4.266666666666667,0.234375,8.625
132.0,0.0,10.63381818181817,12.413227097083075,0.08055922865013765,129.0,30.0,4.3,0.2325581395348837,8.69767441860465
133.0,1.0,10.718917293233073,12.40796960752406,0.08059336310701556,129.0,30.0,4.3,0.2325581395348837,8.69767441860465
133.0,0.0,10.718917293233073,12.40796960752406,0.08059336310701556,130.0,30.0,4.333333333333333,0.2307692307692308,8.76923076923077
134.0,1.0,10.8027462686567,12.404253202612953,0.0806175094675873,130.0,30.0,4.333333333333333,0.2307692307692308,8.76923076923077
134.0,0.0,10.8027462686567,12.404253202612953,0.0806175094675873,131.0,30.0,4.366666666666666,0.22900763358778625,8.83969465648855
134.0,0.0,10.8027462686567,12.404253202612953,0.0806175094675873,131.0,30.0,4.366666666666666,0.22900763358778625,8.83969465648855
134.0,0.0,10.8027462686567,12.404253202612953,0.0806175094675873,132.0,30.0,4.4,0.2272727272727273,8.909090909090908
134.0,0.0,10.8027462686567,12.404253202612953,0.0806175094675873,133.0,30.0,4.433333333333334,0.2255639097744361,8.977443609022556
